Club,Country,Date,Elo,Level
Blackburn,ENG,2001-12-08,1654.58813477,1
Bolton,ENG,2001-12-08,1628.78491211,1
West Ham,ENG,2001-12-08,1628.68798828,1
Southampton,ENG,2001-12-08,1613.3067627,1
Leicester,ENG,2001-12-08,1610.55871582,1
Derby,ENG,2001-12-08,1589.28161621,1
Liverpool,ENG,2001-12-14,1867.80285645,1
Leeds,ENG,2001-12-14,1843.23327637,1
Man United,ENG,2001-12-14,1827.84912109,1
Arsenal,ENG,2001-12-14,1825.85986328,1
Chelsea,ENG,2001-12-14,1762.9173584000002,1
Newcastle,ENG,2001-12-14,1726.08642578,1
Sunderland,ENG,2001-12-14,1707.60095215,1
Aston Villa,ENG,2001-12-14,1705.90783691,1
Tottenham,ENG,2001-12-14,1693.83117676,1
Charlton,ENG,2001-12-14,1679.7935790999998,1
Fulham,ENG,2001-12-14,1676.2199707,1
Middlesbrough,ENG,2001-12-14,1674.95581055,1
Everton,ENG,2001-12-14,1656.54187012,1
Ipswich,ENG,2001-12-14,1653.34521484,1
Blackburn,ENG,2001-12-14,1649.51586914,1
West Ham,ENG,2001-12-14,1642.74853516,1
Southampton,ENG,2001-12-14,1632.36572266,1
Bolton,ENG,2001-12-14,1621.44274902,1
Derby,ENG,2001-12-14,1591.66674805,1
Leicester,ENG,2001-12-14,1591.49987793,1
Liverpool,ENG,2001-12-16,1867.80285645,1
Leeds,ENG,2001-12-16,1843.23327637,1
Man United,ENG,2001-12-16,1833.45593262,1
Arsenal,ENG,2001-12-16,1822.55419922,1
Chelsea,ENG,2001-12-16,1762.9173584000002,1
Newcastle,ENG,2001-12-16,1730.75598145,1
Aston Villa,ENG,2001-12-16,1705.90783691,1
Tottenham,ENG,2001-12-16,1705.80554199,1
Sunderland,ENG,2001-12-16,1695.77392578,1
Charlton,ENG,2001-12-16,1679.9498290999998,1
Middlesbrough,ENG,2001-12-16,1669.34887695,1
Fulham,ENG,2001-12-16,1664.24560547,1
Everton,ENG,2001-12-16,1661.46643066,1
Ipswich,ENG,2001-12-16,1653.34521484,1
West Ham,ENG,2001-12-16,1646.05419922,1
Blackburn,ENG,2001-12-16,1644.84619141,1
Southampton,ENG,2001-12-16,1644.19274902,1
Bolton,ENG,2001-12-16,1621.28649902,1
Leicester,ENG,2001-12-16,1591.49987793,1
Derby,ENG,2001-12-16,1586.7421875,1
Liverpool,ENG,2001-12-18,1849.7923584000002,1
Leeds,ENG,2001-12-18,1835.94885254,1
Man United,ENG,2001-12-18,1833.45593262,1
Arsenal,ENG,2001-12-18,1822.55419922,1
Chelsea,ENG,2001-12-18,1780.92773438,1
Newcastle,ENG,2001-12-18,1730.75598145,1
Aston Villa,ENG,2001-12-18,1711.00097656,1
Tottenham,ENG,2001-12-18,1705.80554199,1
Sunderland,ENG,2001-12-18,1695.77392578,1
Charlton,ENG,2001-12-18,1679.9498290999998,1
Middlesbrough,ENG,2001-12-18,1669.34887695,1
Fulham,ENG,2001-12-18,1664.24560547,1
Everton,ENG,2001-12-18,1661.46643066,1
Ipswich,ENG,2001-12-18,1648.25219727,1
West Ham,ENG,2001-12-18,1646.05419922,1
Blackburn,ENG,2001-12-18,1644.84619141,1
Southampton,ENG,2001-12-18,1644.19274902,1
Bolton,ENG,2001-12-18,1621.28649902,1
Leicester,ENG,2001-12-18,1598.78430176,1
Derby,ENG,2001-12-18,1586.7421875,1
Liverpool,ENG,2001-12-22,1849.7923584000002,1
Leeds,ENG,2001-12-22,1838.73986816,1
Man United,ENG,2001-12-22,1833.45593262,1
Arsenal,ENG,2001-12-22,1805.72277832,1
Chelsea,ENG,2001-12-22,1780.92773438,1
Newcastle,ENG,2001-12-22,1747.58752441,1
Aston Villa,ENG,2001-12-22,1711.00097656,1
Tottenham,ENG,2001-12-22,1705.80554199,1
Sunderland,ENG,2001-12-22,1695.77392578,1
Charlton,ENG,2001-12-22,1679.9498290999998,1
Middlesbrough,ENG,2001-12-22,1669.34887695,1
Fulham,ENG,2001-12-22,1664.24560547,1
Everton,ENG,2001-12-22,1658.67529297,1
Ipswich,ENG,2001-12-22,1648.25219727,1
West Ham,ENG,2001-12-22,1646.05419922,1
Blackburn,ENG,2001-12-22,1644.84619141,1
Southampton,ENG,2001-12-22,1644.19274902,1
Bolton,ENG,2001-12-22,1621.28649902,1
Leicester,ENG,2001-12-22,1598.78430176,1
Derby,ENG,2001-12-22,1586.7421875,1
Man United,ENG,2001-12-28,1846.20666504,1
Liverpool,ENG,2001-12-28,1845.13830566,1
Leeds,ENG,2001-12-28,1834.48254395,1
Arsenal,ENG,2001-12-28,1822.14697266,1
Chelsea,ENG,2001-12-28,1781.47631836,1
Newcastle,ENG,2001-12-28,1766.88098145,1
Sunderland,ENG,2001-12-28,1716.63500977,1
Aston Villa,ENG,2001-12-28,1691.32336426,1
Tottenham,ENG,2001-12-28,1686.92907715,1
Charlton,ENG,2001-12-28,1666.96630859,1
Ipswich,ENG,2001-12-28,1666.50256348,1
Fulham,ENG,2001-12-28,1662.24182129,1
Middlesbrough,ENG,2001-12-28,1662.00842285,1
West Ham,ENG,2001-12-28,1657.09680176,1
Everton,ENG,2001-12-28,1646.20654297,1
Southampton,ENG,2001-12-28,1645.9642334,1
Blackburn,ENG,2001-12-28,1644.4276123,1
Bolton,ENG,2001-12-28,1607.52880859,1
Leicester,ENG,2001-12-28,1591.21533203,1
Derby,ENG,2001-12-28,1589.80712891,1
Man United,ENG,2001-12-31,1851.32507324,1
Liverpool,ENG,2001-12-31,1841.87304688,1
Leeds,ENG,2001-12-31,1839.49401855,1
